ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,HOA Fee
ML81799129,14,3500,999888,1020000,1242,3,2,0,Y,2,1964,0
ML81786283,9,3500,999888,1180000,1612,3,2,0,Y,2,1967,0
ML81767193,82,3500,1029990,1010000,1347,3,2,0,Y,2,1962,0
ML81792932,0,3500,1030000,1030000,1152,3,2,0,Y,2,1961,0
ML81829335,7,3500,1048800,1220000,1529,3,2,1,Y,2,1999,125
ML81798953,9,3500,1049000,1130000,1589,3,2,1,Y,2,1989,0
ML81734647,17,3500,1050000,1080000,1416,3,2,1,Y,2,1989,0
ML81766836,13,3500,1050000,1008500,1413,4,2,0,Y,2,1962,0
ML81802094,1,3500,1060000,1060000,1579,3,2,0,Y,2,1969,0
ML81810049,7,3500,1060000,1152500,1384,3,2,1,Y,2,1989,0
ML81841310,7,3500,1079000,1405000,1176,3,2,0,Y,2,1958,0
ML81780768,7,3500,1080000,1167000,1404,3,2,0,Y,2,1961,0
ML81767136,26,3500,1080000,1070000,1453,3,2,0,Y,2,1976,0
ML81847124,7,3500,1086200,1144000,1066,3,1,0,Y,1,1952,0
ML81807125,8,3500,1088000,1140000,1370,3,2,1,Y,2,1989,0
ML81742240,20,3500,1088800,1150000,1577,3,2,0,Y,2,1962,0
ML81818715,6,3500,1090000,1234000,1412,3,2,0,Y,2,1960,0
ML81737225,6,3500,1090000,1161000,1384,3,2,1,Y,2,1995,42
ML81851064,3,3500,1098000,1250000,1472,3,2,0,Y,1,1964,216
ML81822215,5,3500,1098800,1235000,1564,3,2,0,Y,2,1965,0
ML81758319,23,3500,1098888,1060000,2001,3,3,0,Y,2,2007,119
ML81808017,6,3500,1099000,1155000,1917,3,4,1,Y,2,2007,138
ML81811489,2,3500,1099000,1160000,1320,3,2,0,Y,2,1959,216
ML81806831,6,3500,1099000,1200000,1344,3,2,0,Y,2,1960,0
ML81749448,1,3500,1099000,1110000,1422,3,2,0,Y,2,1967,0
ML81799263,5,3500,1099000,1125000,1866,4,2,1,Y,2,1998,55
ML81807902,4,3500,1099888,1150000,1904,4,3,0,Y,2,1955,0
ML81785137,7,3500,1099900,1255000,2053,5,3,0,Y,2,1978,0
ML81793968,3,3500,1100000,1100000,1669,3,2,0,Y,2,1965,0
ML81766720,8,3500,1100000,1150000,1542,4,2,0,Y,2,1958,150
ML81745953,22,3500,1120888,1070000,1405,4,2,0,Y,2,1963,0
ML81793329,5,3500,1129800,1150000,1911,4,2,1,Y,2,1997,85
ML81812192,3,3500,1138888,1189888,1390,3,2,0,Y,2,1959,0
ML81797628,31,3500,1140000,1160000,1848,3,2,1,Y,2,1991,125
ML81760933,22,3500,1148000,1120000,1584,4,2,0,Y,2,1960,15
ML81802416,35,3500,1149000,1180000,2066,4,2,1,Y,2,2002,0
ML81781921,11,3500,1149000,1144000,1740,3,2,1,Y,2,1997,90
ML81775775,2,3500,1149950,1170000,2008,3,2,0,Y,2,1958,180
ML81801630,9,3500,1150000,1250000,1523,3,2,0,Y,2,1970,0
ML81803593,8,3500,1150000,1205000,1503,4,2,0,Y,2,1977,0
ML81821962,7,3500,1150000,1220000,2000,4,3,0,Y,2,2008,125
ML81779235,5,3500,1155000,1155000,2422,4,3,1,Y,2,2016,189
ML81782312,9,3500,1159000,1195000,1526,3,2,0,Y,2,1958,0
ML81824194,9,3500,1169888,1352000,1576,3,2,0,Y,2,1968,0
ML81756452,73,3500,1174999,1140000,2394,4,2,1,Y,2,1963,0
ML81830382,0,3500,1175000,1220000,1399,4,2,0,Y,2,1965,0
ML81822865,6,3500,1180000,1263000,2079,3,2,0,Y,2,1952,0
ML81739217,25,3500,1180000,1150000,1523,3,2,0,Y,2,1972,0
ML81771713,10,3500,1180000,1203600,1579,3,2,0,Y,2,1970,0
ML81747574,8,3500,1180000,1288000,2160,4,3,0,Y,2,1965,0
ML81794141,5,3500,1185000,1280000,1889,4,2,1,Y,2,1978,0
ML81799493,6,3500,1188000,1310000,1588,4,2,0,Y,2,1964,216
ML81805423,1,3500,1188000,1305000,1951,5,2,0,Y,2,1962,0
ML81827794,10,3500,1188888,1388888,1760,3,2,1,Y,2,1994,133
ML81779279,6,3500,1189000,1236227,1789,4,2,1,Y,2,1989,0
ML81779168,14,3500,1190000,1290000,1942,4,2,0,Y,2,1971,0
ML81803251,10,3500,1190888,1275000,2501,5,3,0,Y,2,1963,0
ML81795509,6,3500,1195000,1244000,1675,3,2,0,Y,2,1977,0
ML81830248,14,3500,1195000,1231000,1317,3,2,0,Y,2,1958,0
ML81748508,9,3500,1198000,1225000,1523,3,2,0,Y,2,1971,0
