ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,Lot SqFt,HOA Fee,Closing Date
40848391,18,3700,"$1,298,888 ","$1,280,000 ",2163,4,3,0,Y,2,1980,"7,361",,2/4/19
40843149,107,3700,"$650,000 ","$610,000 ",748,2,1,0,Y,2,1905,"11,685",,2/6/19
ML81731754,41,3700,"$989,950 ","$975,000 ",1341,3,2,,Y,2,1961,"7,313",150,2/6/19
40846581,41,3700,"$989,950 ","$975,000 ",1341,3,2,0,Y,2,1961,"7,313",150,2/6/19
40846999,35,3700,"$1,200,000 ","$1,220,000 ",1832,4,3,0,Y,2,1965,"6,132",21,2/6/19
40848814,14,3700,"$1,000,050 ","$1,232,000 ",1942,4,2,0,Y,2,1973,"6,205",,2/7/19
40843506,82,3700,"$1,230,000 ","$1,150,000 ",1763,4,3,,Y,2,1994,"4,293",,2/7/19
40847202,49,3700,"$1,480,000 ","$1,455,000 ",2523,5,2,1,Y,2,1965,"15,711",150,2/7/19
40850108,10,3700,"$1,200,000 ","$1,350,000 ",1866,3,2,0,Y,2,1966,"9,000",,2/8/19
40848048,35,3700,"$928,000 ","$920,000 ",1242,3,2,0,Y,2,1964,"5,800",,2/11/19
40848490,9,3700,"$950,059 ","$951,000 ",1579,3,2,0,Y,2,1974,"6,079",,2/11/19
40843654,35,3700,"$959,999 ","$905,000 ",1131,3,2,0,Y,2,1963,"8,178",,2/13/19
40847664,55,3700,"$1,058,888 ","$930,000 ",1118,3,2,,Y,2,1959,"6,018",,2/13/19
ML81731149,69,3500,"$888,000 ","$875,000 ",1148,3,2,,Y,2,1957,"5,600",,2/14/19
40850323,13,3700,"$1,299,000 ","$1,320,000 ",1516,3,2,0,Y,2,1976,"6,600",,2/14/19
40848824,14,3700,"$1,488,800 ","$1,540,000 ",1760,3,2,1,Y,2,1956,"8,938",,2/14/19
ML81726788,68,3700,"$1,800,000 ","$1,750,000 ",2781,4,2,1,Y,3,1978,"15,666",,2/14/19
40849175,10,3700,"$898,000 ","$910,000 ",794,2,1,,Y,1,1947,"7,360",,2/15/19
40850468,13,3700,"$999,999 ","$1,350,000 ",1536,3,2,0,Y,2,1965,"6,478",,2/15/19
40845288,36,3700,"$1,099,000 ","$1,135,000 ",1656,4,2,0,Y,2,1964,"6,206",,2/15/19
40849917,7,3700,"$1,349,000 ","$1,325,000 ",1584,3,2,0,Y,2,1961,"8,000",,2/15/19
40849702,11,3700,"$1,499,995 ","$1,530,000 ",1899,4,2,0,Y,2,1966,"6,200",,2/15/19
40850175,8,3700,"$899,950 ","$960,000 ",1131,3,2,,Y,2,1963,"6,363",,2/19/19
40848959,15,3700,"$1,099,999 ","$1,140,000 ",1355,3,2,0,Y,2,1956,"7,390",,2/19/19
40849209,8,3700,"$829,900 ","$850,000 ",1160,3,1,1,Y,2,1955,"5,202",,2/20/19
ML81735361,12,3700,"$850,000 ","$829,000 ",1269,3,2,,Y,2,1963,"6,000",,2/20/19
40850210,9,3700,"$1,098,000 ","$1,140,500 ",1198,3,2,0,Y,2,1959,"6,048",,2/20/19
ML81735494,9,3700,"$1,098,000 ","$1,140,500 ",1198,3,2,,Y,2,1959,"6,048",,2/20/19
40849501,13,3700,"$1,050,000 ","$1,095,000 ",1972,4,4,,Y,2,1960,"6,041",,2/21/19
40847827,47,3700,"$1,179,800 ","$1,150,000 ",1703,4,2,0,Y,2,1967,"6,107",,2/21/19
40849252,15,3700,"$875,000 ","$870,000 ",1148,3,2,,Y,2,1960,"5,700",,2/22/19
40850561,3,3700,"$1,089,900 ","$1,110,000 ",1917,4,4,1,Y,2,2007,"2,157",110,2/22/19
40850268,13,3700,"$1,525,000 ","$1,500,000 ",1974,4,2,1,Y,2,1975,"7,293",,2/22/19
40849535,16,3700,"$1,638,800 ","$1,580,000 ",1957,4,2,0,Y,2,1967,"6,540",,2/22/19
40849290,18,3700,"$2,698,950 ","$2,600,000 ",3729,4,3,1,Y,3,1993,"14,692",,2/22/19
40850901,13,3700,"$925,000 ","$950,004 ",1067,3,2,0,Y,2,1962,"8,064",,2/25/19
ML81736551,7,3700,"$979,000 ","$945,000 ",1832,4,2,1,,0,1959,"6,000",,2/25/19
40851045,6,3700,"$979,000 ","$945,000 ",1832,4,2,1,N,0,1959,"6,000",,2/25/19
40851589,6,3700,"$988,000 ","$1,090,000 ",1409,4,2,,Y,2,1977,"5,452",,2/25/19
ML81733583,40,3700,"$1,385,000 ","$1,365,000 ",1636,3,2,,Y,2,1977,"7,208",,2/25/19
40850294,12,3700,"$1,670,000 ","$1,640,121 ",1948,4,2,1,Y,2,1979,"6,647",,2/25/19
40850419,8,3700,"$1,288,888 ","$1,366,000 ",1716,4,2,0,Y,2,1985,"5,801",,2/26/19
40849322,15,3700,"$829,900 ","$900,000 ",1473,3,2,0,Y,2,1966,"5,800",,2/28/19
40850862,8,3700,"$898,888 ","$965,000 ",1419,3,2,0,Y,2,1963,"6,000",,2/28/19
ME18072194,95,3700,"$975,000 ","$910,000 ",1148,3,2,0,,2,1960,"6,200",,2/28/19
40843314,95,3700,"$975,000 ","$910,000 ",1148,3,2,0,Y,2,1960,"6,200",,2/28/19
40851156,15,3700,"$1,100,000 ","$1,100,000 ",2045,4,2,0,Y,2,1965,"7,039",,2/28/19
40850501,12,3700,"$1,288,000 ","$1,330,000 ",2053,4,2,0,Y,2,1959,"7,966",150,2/28/19
